Market Center,Commodity,State,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Kustagi,Bajra(Pearl Millet),Karnataka,2011,February,NR,Tonnes,NR,Hybrid,860,860,860,Rs/Quintal
Ambaha,Bajra(Pearl Millet),Madhya Pradesh,2011,February,10.5,Tonnes,NR,Other,722,725,NR,Rs/Quintal
Jora,Bajra(Pearl Millet),Madhya Pradesh,2011,February,2,Tonnes,NR,Deshi,725,725,725,Rs/Quintal
Morena,Bajra(Pearl Millet),Madhya Pradesh,2011,February,35.1,Tonnes,"Madhya Pradesh,Morena",Deshi,753,793,762,Rs/Quintal
Porsa,Bajra(Pearl Millet),Madhya Pradesh,2011,February,50,Tonnes,NR,Deshi,725,740,732,Rs/Quintal
Sheopurkalan,Bajra(Pearl Millet),Madhya Pradesh,2011,February,0.2,Tonnes,NR,Other,762,762,762,Rs/Quintal
Ahmednagar,Bajra(Pearl Millet),Maharashtra,2011,February,5,Tonnes,NR,Other,925,1251,1088,Rs/Quintal
Ambejaogai,Bajra(Pearl Millet),Maharashtra,2011,February,0.1,Tonnes,NR,Other,1100,1100,1100,Rs/Quintal
Aurangabad,Bajra(Pearl Millet),Maharashtra,2011,February,3.8,Tonnes,NR,Other,900,1125,975,Rs/Quintal
Beed,Bajra(Pearl Millet),Maharashtra,2011,February,1,Tonnes,NR,Other,870,1161,1000,Rs/Quintal
Chopada,Bajra(Pearl Millet),Maharashtra,2011,February,0.4,Tonnes,NR,Other,1178,1178,1178,Rs/Quintal
Devala,Bajra(Pearl Millet),Maharashtra,2011,February,1,Tonnes,NR,Other,840,967,936,Rs/Quintal
Dhule,Bajra(Pearl Millet),Maharashtra,2011,February,16.5,Tonnes,NR,Other,840,1165,900,Rs/Quintal
Dondaicha,Bajra(Pearl Millet),Maharashtra,2011,February,1.2,Tonnes,NR,Other,979,1101,1075,Rs/Quintal
Gangapur,Bajra(Pearl Millet),Maharashtra,2011,February,1.4,Tonnes,NR,Other,1000,1300,1150,Rs/Quintal
Gevrai,Bajra(Pearl Millet),Maharashtra,2011,February,2.8,Tonnes,NR,Other,880,910,901,Rs/Quintal
Indapur,Bajra(Pearl Millet),Maharashtra,2011,February,1,Tonnes,NR,Other,1100,1475,1351,Rs/Quintal
Kalamb(Osmanabad),Bajra(Pearl Millet),Maharashtra,2011,February,0.1,Tonnes,NR,Other,1201,1201,1201,Rs/Quintal
Kalvan,Bajra(Pearl Millet),Maharashtra,2011,February,1.2,Tonnes,NR,Other,840,900,840,Rs/Quintal
Kille Dharur,Bajra(Pearl Millet),Maharashtra,2011,February,1,Tonnes,NR,Other,880,1121,1050,Rs/Quintal
Kolhapur(Laxmipuri),Bajra(Pearl Millet),Maharashtra,2011,February,3.7,Tonnes,NR,Other,1200,1500,1350,Rs/Quintal
Lasur Station,Bajra(Pearl Millet),Maharashtra,2011,February,9.2,Tonnes,NR,Other,900,1110,1000,Rs/Quintal
Latur,Bajra(Pearl Millet),Maharashtra,2011,February,60.5,Tonnes,NR,Other,850,1010,900,Rs/Quintal
Majalgaon,Bajra(Pearl Millet),Maharashtra,2011,February,0.5,Tonnes,NR,Other,890,1100,1000,Rs/Quintal
Mangal Wedha,Bajra(Pearl Millet),Maharashtra,2011,February,0.7,Tonnes,NR,Other,1100,1172,1100,Rs/Quintal
Manmad,Bajra(Pearl Millet),Maharashtra,2011,February,7.6,Tonnes,NR,Other,840,1200,921,Rs/Quintal
Mumbai,Bajra(Pearl Millet),Maharashtra,2011,February,19.7,Tonnes,NR,Other,1050,2000,1495,Rs/Quintal
Pandharpur,Bajra(Pearl Millet),Maharashtra,2011,February,1.1,Tonnes,NR,Other,970,1050,970,Rs/Quintal
Pathardi,Bajra(Pearl Millet),Maharashtra,2011,February,3.2,Tonnes,NR,Other,900,1010,925,Rs/Quintal
Pune,Bajra(Pearl Millet),Maharashtra,2011,February,26.8,Tonnes,NR,Other,1100,1500,1300,Rs/Quintal
Pusad,Bajra(Pearl Millet),Maharashtra,2011,February,0.2,Tonnes,NR,Other,1025,1050,1050,Rs/Quintal
Rahuri,Bajra(Pearl Millet),Maharashtra,2011,February,0.2,Tonnes,NR,Other,900,975,951,Rs/Quintal
Sangola,Bajra(Pearl Millet),Maharashtra,2011,February,1,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Shevgaon,Bajra(Pearl Millet),Maharashtra,2011,February,1.5,Tonnes,NR,Other,840,1000,950,Rs/Quintal
Shevgaon(Bodhegaon),Bajra(Pearl Millet),Maharashtra,2011,February,5.9,Tonnes,NR,Other,860,1000,900,Rs/Quintal
Shirpur,Bajra(Pearl Millet),Maharashtra,2011,February,2.7,Tonnes,NR,Other,970,970,970,Rs/Quintal
Solapur,Bajra(Pearl Millet),Maharashtra,2011,February,17.3,Tonnes,NR,Other,911,1100,1050,Rs/Quintal
Suragana,Bajra(Pearl Millet),Maharashtra,2011,February,0.1,Tonnes,NR,Other,900,900,900,Rs/Quintal
Ulhasnagar,Bajra(Pearl Millet),Maharashtra,2011,February,0.5,Tonnes,NR,Other,1200,1500,1300,Rs/Quintal
Vasai,Bajra(Pearl Millet),Maharashtra,2011,February,9,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Abu Road,Bajra(Pearl Millet),Rajasthan,2011,February,NR,Tonnes,NR,Other,950,975,950,Rs/Quintal
Alwar,Bajra(Pearl Millet),Rajasthan,2011,February,31.1,Tonnes,NR,Other,700,780,765,Rs/Quintal
Barmer,Bajra(Pearl Millet),Rajasthan,2011,February,NR,Tonnes,NR,Other,875,980,925,Rs/Quintal
Bharatpur,Bajra(Pearl Millet),Rajasthan,2011,February,43.3,Tonnes,NR,Other,756,825,791,Rs/Quintal
Bijay Nagar,Bajra(Pearl Millet),Rajasthan,2011,February,0.3,Tonnes,NR,Other,775,775,775,Rs/Quintal
Chaksu,Bajra(Pearl Millet),Rajasthan,2011,February,14,Tonnes,NR,Other,790,790,790,Rs/Quintal
Chomu,Bajra(Pearl Millet),Rajasthan,2011,February,15.8,Tonnes,NR,Other,750,845,798,Rs/Quintal
Dausa,Bajra(Pearl Millet),Rajasthan,2011,February,1097,Tonnes,NR,Other,755,1021,888,Rs/Quintal
Deedwana,Bajra(Pearl Millet),Rajasthan,2011,February,NR,Tonnes,NR,Other,700,800,775,Rs/Quintal
Deedwana(Choti Khatu),Bajra(Pearl Millet),Rajasthan,2011,February,14.2,Tonnes,NR,Other,700,800,780,Rs/Quintal
Deeg,Bajra(Pearl Millet),Rajasthan,2011,February,1.5,Tonnes,NR,Other,716,730,721,Rs/Quintal
Degana,Bajra(Pearl Millet),Rajasthan,2011,February,34,Tonnes,NR,Other,700,722,720,Rs/Quintal
Deoli,Bajra(Pearl Millet),Rajasthan,2011,February,11.2,Tonnes,NR,Other,800,1054,927,Rs/Quintal
Gangapur City,Bajra(Pearl Millet),Rajasthan,2011,February,27.3,Tonnes,NR,Other,750,833,790,Rs/Quintal
Hanumangarh,Bajra(Pearl Millet),Rajasthan,2011,February,9.5,Tonnes,NR,Other,837,850,840,Rs/Quintal
Jaipur(Grain)(Chandpole),Bajra(Pearl Millet),Rajasthan,2011,February,594,Tonnes,NR,Other,770,900,850,Rs/Quintal
Jhunjhunu,Bajra(Pearl Millet),Rajasthan,2011,February,27.5,Tonnes,NR,Other,770,780,780,Rs/Quintal
Jodhpur (Grain)(Mandor),Bajra(Pearl Millet),Rajasthan,2011,February,2.5,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Jodhpur(Grain)(Phalodi),Bajra(Pearl Millet),Rajasthan,2011,February,1.5,Tonnes,NR,Local,850,900,875,Rs/Quintal
Kama,Bajra(Pearl Millet),Rajasthan,2011,February,1.6,Tonnes,NR,Other,721,737,726,Rs/Quintal
Kekri,Bajra(Pearl Millet),Rajasthan,2011,February,186,Tonnes,NR,Other,800,900,850,Rs/Quintal
Kesarisinghpur,Bajra(Pearl Millet),Rajasthan,2011,February,0.1,Tonnes,NR,Other,900,900,900,Rs/Quintal
Kishan Renwal(Fulera),Bajra(Pearl Millet),Rajasthan,2011,February,26.5,Tonnes,NR,Other,850,850,850,Rs/Quintal
Kishan Renwal(Sambhar),Bajra(Pearl Millet),Rajasthan,2011,February,10.4,Tonnes,NR,Other,755,755,755,Rs/Quintal
Kishangarh Renwal,Bajra(Pearl Millet),Rajasthan,2011,February,6,Tonnes,NR,Other,750,750,750,Rs/Quintal
Kota,Bajra(Pearl Millet),Rajasthan,2011,February,2,Tonnes,NR,Other,700,700,700,Rs/Quintal
Kotputli,Bajra(Pearl Millet),Rajasthan,2011,February,280,Tonnes,NR,Other,780,825,800,Rs/Quintal
Kotputli(Pawla),Bajra(Pearl Millet),Rajasthan,2011,February,400,Tonnes,NR,Other,790,790,790,Rs/Quintal
Kuchaman City,Bajra(Pearl Millet),Rajasthan,2011,February,11.3,Tonnes,NR,Other,735,977,794,Rs/Quintal
Lalsot,Bajra(Pearl Millet),Rajasthan,2011,February,6.3,Tonnes,NR,Other,752,820,790,Rs/Quintal
Lalsot(Mandabari),Bajra(Pearl Millet),Rajasthan,2011,February,14.4,Tonnes,NR,Other,735,890,810,Rs/Quintal
Madanganj Kishanganj,Bajra(Pearl Millet),Rajasthan,2011,February,3.4,Tonnes,NR,Other,789,819,804,Rs/Quintal
Malpura,Bajra(Pearl Millet),Rajasthan,2011,February,19,Tonnes,NR,Other,760,835,810,Rs/Quintal
Nagar,Bajra(Pearl Millet),Rajasthan,2011,February,2.63,Tonnes,NR,Other,740,795,765,Rs/Quintal
Nawalgarh,Bajra(Pearl Millet),Rajasthan,2011,February,1.5,Tonnes,NR,Other,720,750,740,Rs/Quintal
Neem Ka Thana,Bajra(Pearl Millet),Rajasthan,2011,February,11.4,Tonnes,NR,Deshi,760,775,765,Rs/Quintal
Niwai,Bajra(Pearl Millet),Rajasthan,2011,February,16,Tonnes,NR,Other,770,770,770,Rs/Quintal
Pali,Bajra(Pearl Millet),Rajasthan,2011,February,150,Tonnes,NR,Deshi,900,1000,1000,Rs/Quintal
Pilli Banga,Bajra(Pearl Millet),Rajasthan,2011,February,2,Tonnes,NR,Other,831,831,831,Rs/Quintal
Raisingh Nagar,Bajra(Pearl Millet),Rajasthan,2011,February,0.1,Tonnes,NR,Other,874,874,874,Rs/Quintal
Rawatsar,Bajra(Pearl Millet),Rajasthan,2011,February,0.3,Tonnes,NR,Other,862,862,862,Rs/Quintal
Sawai Madhopur,Bajra(Pearl Millet),Rajasthan,2011,February,61,Tonnes,NR,Other,770,881,835,Rs/Quintal
Sikar,Bajra(Pearl Millet),Rajasthan,2011,February,4,Tonnes,NR,Local,740,747,744,Rs/Quintal
Sriganganagar,Bajra(Pearl Millet),Rajasthan,2011,February,60,Tonnes,NR,Other,950,950,950,Rs/Quintal
Tonk,Bajra(Pearl Millet),Rajasthan,2011,February,28,Tonnes,NR,Bold,740,776,770,Rs/Quintal
Karamadai,Bajra(Pearl Millet),Tamil Nadu,2011,February,NR,Tonnes,NR,Other,900,1000,950,Rs/Quintal
Theni,Bajra(Pearl Millet),Tamil Nadu,2011,February,NR,Tonnes,NR,Other,1100,1150,1130,Rs/Quintal
Achalda,Bajra(Pearl Millet),Uttar Pradesh,2011,February,NR,Tonnes,NR,Other,835,855,850,Rs/Quintal
Achnera,Bajra(Pearl Millet),Uttar Pradesh,2011,February,3,Tonnes,NR,Other,640,755,730,Rs/Quintal
Ajuha,Bajra(Pearl Millet),Uttar Pradesh,2011,February,32,Tonnes,NR,Hybrid,NR,NR,860,Rs/Quintal
Aligarh,Bajra(Pearl Millet),Uttar Pradesh,2011,February,40,Tonnes,NR,Other,720,750,735,Rs/Quintal
Auraiya,Bajra(Pearl Millet),Uttar Pradesh,2011,February,150,Tonnes,NR,Deshi,NR,NR,740,Rs/Quintal
Bangarmau,Bajra(Pearl Millet),Uttar Pradesh,2011,February,56,Tonnes,NR,Other,NR,NR,700,Rs/Quintal
Divai,Bajra(Pearl Millet),Uttar Pradesh,2011,February,1.5,Tonnes,NR,Other,725,735,730,Rs/Quintal
Fatehabad,Bajra(Pearl Millet),Uttar Pradesh,2011,February,1.5,Tonnes,NR,Other,700,780,740,Rs/Quintal
Fatehpur,Bajra(Pearl Millet),Uttar Pradesh,2011,February,4.5,Tonnes,NR,Other,750,750,750,Rs/Quintal
Firozabad,Bajra(Pearl Millet),Uttar Pradesh,2011,February,5,Tonnes,NR,Deshi,700,750,730,Rs/Quintal
Jagnair,Bajra(Pearl Millet),Uttar Pradesh,2011,February,42,Tonnes,NR,Other,700,760,740,Rs/Quintal
Khairagarh,Bajra(Pearl Millet),Uttar Pradesh,2011,February,2,Tonnes,NR,Other,700,740,730,Rs/Quintal
Kishunpur,Bajra(Pearl Millet),Uttar Pradesh,2011,February,27,Tonnes,NR,Hybrid,NR,NR,860,Rs/Quintal
Mainpuri,Bajra(Pearl Millet),Uttar Pradesh,2011,February,3.5,Tonnes,NR,Other,755,765,760,Rs/Quintal
Mohamadabad,Bajra(Pearl Millet),Uttar Pradesh,2011,February,2.5,Tonnes,NR,Other,700,725,715,Rs/Quintal
Rura,Bajra(Pearl Millet),Uttar Pradesh,2011,February,18.5,Tonnes,NR,Other,720,760,740,Rs/Quintal
Sanad,Barley (Jau),Gujarat,2011,February,2,Tonnes,NR,Other,1355,1355,1355,Rs/Quintal
Palwal,Barley (Jau),Haryana,2011,February,24,Tonnes,NR,Other,1240,1240,1240,Rs/Quintal
Kollam,Barley (Jau),Kerala,2011,February,0.3,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Nagod,Barley (Jau),Madhya Pradesh,2011,February,3.5,Tonnes,NR,Other,1050,1050,1050,Rs/Quintal
Neemuch,Barley (Jau),Madhya Pradesh,2011,February,2.1,Tonnes,"Madhya Pradesh,Neemuch",Deshi,1345,1408,1375,Rs/Quintal
Satna,Barley (Jau),Madhya Pradesh,2011,February,2.5,Tonnes,NR,Other,1154,1175,1160,Rs/Quintal
Alwar,Barley (Jau),Rajasthan,2011,February,NR,Tonnes,NR,Other,1235,1280,1260,Rs/Quintal
Chomu,Barley (Jau),Rajasthan,2011,February,0.2,Tonnes,NR,Other,1240,1240,1240,Rs/Quintal
Lalsot(Mandabari),Barley (Jau),Rajasthan,2011,February,0.3,Tonnes,NR,Other,975,NR,975,Rs/Quintal
Nimbahera,Barley (Jau),Rajasthan,2011,February,1,Tonnes,NR,Other,1200,1361,1300,Rs/Quintal
Sriganganagar,Barley (Jau),Rajasthan,2011,February,5,Tonnes,NR,Other,1116,1116,1116,Rs/Quintal
Agra,Barley (Jau),Uttar Pradesh,2011,February,14,Tonnes,NR,Other,1240,1270,1265,Rs/Quintal
Azamgarh,Barley (Jau),Uttar Pradesh,2011,February,1,Tonnes,NR,Other,1215,1235,1225,Rs/Quintal
Devariya,Barley (Jau),Uttar Pradesh,2011,February,0.5,Tonnes,NR,Dara,NR,NR,1175,Rs/Quintal
Fatehpur,Barley (Jau),Uttar Pradesh,2011,February,0.1,Tonnes,NR,Dara,NR,NR,1375,Rs/Quintal
Gonda,Barley (Jau),Uttar Pradesh,2011,February,0.4,Tonnes,NR,Other,1270,1280,1275,Rs/Quintal
Gorakhpur,Barley (Jau),Uttar Pradesh,2011,February,2.5,Tonnes,NR,Dara,NR,NR,1225,Rs/Quintal
Jhansi,Barley (Jau),Uttar Pradesh,2011,February,6,Tonnes,NR,Dara,NR,NR,1190,Rs/Quintal
Lalitpur,Barley (Jau),Uttar Pradesh,2011,February,65,Tonnes,NR,Other,NR,NR,1115,Rs/Quintal
Lucknow,Barley (Jau),Uttar Pradesh,2011,February,11.5,Tonnes,NR,Dara,NR,NR,1300,Rs/Quintal
Mahoba,Barley (Jau),Uttar Pradesh,2011,February,4,Tonnes,NR,Other,NR,NR,1230,Rs/Quintal
Mainpuri,Barley (Jau),Uttar Pradesh,2011,February,2,Tonnes,NR,Other,1150,1160,1155,Rs/Quintal
Mathura,Barley (Jau),Uttar Pradesh,2011,February,12,Tonnes,NR,Other,1150,1180,1175,Rs/Quintal
Meerut,Barley (Jau),Uttar Pradesh,2011,February,9,Tonnes,NR,Other,NR,NR,1275,Rs/Quintal
Sandila,Barley (Jau),Uttar Pradesh,2011,February,11,Tonnes,NR,Other,NR,NR,1265,Rs/Quintal
Tamkuhi Road,Barley (Jau),Uttar Pradesh,2011,February,0.5,Tonnes,NR,Dara,NR,NR,1140,Rs/Quintal
Tamkuhi Road,Barley (Jau),Uttar Pradesh,2011,February,,,NR,Other,NR,1190,NR,Rs/Quintal
Varipaal,Barley (Jau),Uttar Pradesh,2011,February,0.9,Tonnes,NR,Dara,1190,1230,1210,Rs/Quintal
P.O. Uparhali Guwahati,Beaten Rice,Assam,2011,February,25,Tonnes,NR,Other,1700,2500,2360,Rs/Quintal
Gadhwah,Beaten Rice,Jharkand,2011,February,NR,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Thiruvannamalai,Hybrid Cumbu,Tamil Nadu,2011,February,0.29,Tonnes,NR,Other,NR,789,NR,Rs/Quintal
Usilampatty,Hybrid Cumbu,Tamil Nadu,2011,February,NR,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Alur,Jowar(Sorgham),Andhra Pradesh,2011,February,1,Tonnes,NR,Local,1850,2000,1950,Rs/Quintal
Nandyal,Jowar(Sorgham),Andhra Pradesh,2011,February,1,Tonnes,NR,Jowar (Yellow),1100,1214,1200,Rs/Quintal
Dahod,Jowar(Sorgham),Gujarat,2011,February,1.9,Tonnes,NR,Other,800,1000,960,Rs/Quintal
Gondal,Jowar(Sorgham),Gujarat,2011,February,NR,Tonnes,NR,White,875,1050,975,Rs/Quintal
Jhagadiya,Jowar(Sorgham),Gujarat,2011,February,NR,Tonnes,NR,Other,1020,1150,1095,Rs/Quintal
Kodinar,Jowar(Sorgham),Gujarat,2011,February,8,Tonnes,NR,Other,1750,2180,2000,Rs/Quintal
Mahuva,Jowar(Sorgham),Gujarat,2011,February,0.3,Tonnes,NR,Other,2995,2995,2995,Rs/Quintal
Mangrol,Jowar(Sorgham),Gujarat,2011,February,7,Tonnes,NR,Jowar ( White),1000,2000,1500,Rs/Quintal
Mansa(Manas Veg Yard),Jowar(Sorgham),Gujarat,2011,February,NR,Tonnes,NR,Other,2550,3250,2750,Rs/Quintal
Mehmadabad,Jowar(Sorgham),Gujarat,2011,February,NR,Tonnes,NR,Other,2000,2250,2200,Rs/Quintal
Morbi,Jowar(Sorgham),Gujarat,2011,February,0.2,Tonnes,NR,Other,2265,2665,2465,Rs/Quintal
Rajkot,Jowar(Sorgham),Gujarat,2011,February,24,Tonnes,NR,Jowar ( White),1700,2200,1950,Rs/Quintal
Savarkundla,Jowar(Sorgham),Gujarat,2011,February,1.5,Tonnes,NR,Other,1305,2565,1935,Rs/Quintal
Siddhpur,Jowar(Sorgham),Gujarat,2011,February,1.8,Tonnes,NR,Other,1765,4980,3370,Rs/Quintal
Taleja,Jowar(Sorgham),Gujarat,2011,February,0.06,Tonnes,NR,Local,870,870,870,Rs/Quintal
Upleta,Jowar(Sorgham),Gujarat,2011,February,1,Tonnes,NR,Other,1250,1285,1270,Rs/Quintal
Vadodara,Jowar(Sorgham),Gujarat,2011,February,6,Tonnes,NR,Hybrid,1050,1100,1100,Rs/Quintal
Vadodara,Jowar(Sorgham),Gujarat,2011,February,,,NR,Local,1700,2200,2200,Rs/Quintal
Vadodara,Jowar(Sorgham),Gujarat,2011,February,,,NR,Other,1600,1800,1800,Rs/Quintal
Vakener,Jowar(Sorgham),Gujarat,2011,February,0.3,Tonnes,NR,Other,2645,2645,2645,Rs/Quintal
Visnagar,Jowar(Sorgham),Gujarat,2011,February,2.5,Tonnes,NR,Other,2250,3505,2875,Rs/Quintal
Vyra,Jowar(Sorgham),Gujarat,2011,February,0.2,Tonnes,NR,Other,900,1600,1250,Rs/Quintal
Punhana,Jowar(Sorgham),Haryana,2011,February,0.3,Tonnes,NR,Other,1883,1883,NR,Rs/Quintal
Aurad,Jowar(Sorgham),Karnataka,2011,February,NR,Tonnes,NR,Jowar Hybrid,830,830,830,Rs/Quintal
Badami,Jowar(Sorgham),Karnataka,2011,February,1,Tonnes,NR,Jowar Hybrid,900,1000,950,Rs/Quintal
Bangalore,Jowar(Sorgham),Karnataka,2011,February,31,Tonnes,NR,Jowar ( White),1200,1600,1450,Rs/Quintal
Basava Kalayana,Jowar(Sorgham),Karnataka,2011,February,3,Tonnes,NR,Hybrid,800,1100,900,Rs/Quintal
Basava Kalayana,Jowar(Sorgham),Karnataka,2011,February,,,NR,Jowar ( White),2400,2400,2400,Rs/Quintal
Bellary,Jowar(Sorgham),Karnataka,2011,February,11,Tonnes,NR,Jowar Hybrid,1350,1600,1500,Rs/Quintal
Bidar,Jowar(Sorgham),Karnataka,2011,February,4,Tonnes,NR,Jowar ( White),1725,2700,2655,Rs/Quintal
Gadag,Jowar(Sorgham),Karnataka,2011,February,16,Tonnes,NR,Jowar ( White),1029,2309,1720,Rs/Quintal
Gonikappal,Jowar(Sorgham),Karnataka,2011,February,3,Tonnes,NR,Local,720,720,720,Rs/Quintal
Gulbarga,Jowar(Sorgham),Karnataka,2011,February,16,Tonnes,NR,Jowar ( White),1800,2700,2400,Rs/Quintal
Harappana Halli,Jowar(Sorgham),Karnataka,2011,February,11,Tonnes,NR,Jowar Hybrid,760,790,780,Rs/Quintal
Hospet,Jowar(Sorgham),Karnataka,2011,February,NR,Tonnes,NR,Jowar Hybrid,800,800,800,Rs/Quintal
