Market Center,State,Commodity,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Kishan Renwal(Fulera),Rajasthan,Bajra(Pearl Millet),2012,February,18.9,Tonnes,NR,Other,870,870,870,Rs/Quintal
Kishan Renwal(Sambhar),Rajasthan,Bajra(Pearl Millet),2012,February,52.4,Tonnes,NR,Other,935,935,935,Rs/Quintal
Kishangarh Renwal,Rajasthan,Bajra(Pearl Millet),2012,February,56,Tonnes,NR,Other,900,970,950,Rs/Quintal
Kotputli,Rajasthan,Bajra(Pearl Millet),2012,February,77.9,Tonnes,NR,Other,950,980,970,Rs/Quintal
Kuchaman City,Rajasthan,Bajra(Pearl Millet),2012,February,20,Tonnes,NR,Other,920,975,948,Rs/Quintal
Madanganj Kishanganj,Rajasthan,Bajra(Pearl Millet),2012,February,8.6,Tonnes,NR,Other,830,870,850,Rs/Quintal
Neem Ka Thana,Rajasthan,Bajra(Pearl Millet),2012,February,9.1,Tonnes,NR,Deshi,915,940,930,Rs/Quintal
Rajasamand,Rajasthan,Bajra(Pearl Millet),2012,February,NR,Tonnes,NR,Other,1000,1050,1025,Rs/Quintal
Sadulpur(ph 3),Rajasthan,Bajra(Pearl Millet),2012,February,1.1,Tonnes,NR,Other,925,950,937,Rs/Quintal
Sawai Madhopur,Rajasthan,Bajra(Pearl Millet),2012,February,14.3,Tonnes,NR,Other,920,953,940,Rs/Quintal
Sikar,Rajasthan,Bajra(Pearl Millet),2012,February,16.2,Tonnes,NR,Bold,926,940,935,Rs/Quintal
Sri Madhopur,Rajasthan,Bajra(Pearl Millet),2012,February,31.2,Tonnes,NR,Other,924,924,924,Rs/Quintal
Tonk,Rajasthan,Bajra(Pearl Millet),2012,February,24,Tonnes,NR,Bold,880,890,890,Rs/Quintal
Karamadai,Tamil Nadu,Bajra(Pearl Millet),2012,February,NR,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Rasipuram,Tamil Nadu,Bajra(Pearl Millet),2012,February,NR,Tonnes,NR,Other,1200,1500,1350,Rs/Quintal
Ajuha,Uttar Pradesh,Bajra(Pearl Millet),2012,February,13.5,Tonnes,NR,Deshi,NR,NR,890,Rs/Quintal
Aligarh,Uttar Pradesh,Bajra(Pearl Millet),2012,February,5,Tonnes,NR,Hybrid,840,880,860,Rs/Quintal
Divai,Uttar Pradesh,Bajra(Pearl Millet),2012,February,2,Tonnes,NR,Hybrid,910,920,915,Rs/Quintal
Haathras,Uttar Pradesh,Bajra(Pearl Millet),2012,February,30,Tonnes,NR,Other,800,900,850,Rs/Quintal
Mainpuri,Uttar Pradesh,Bajra(Pearl Millet),2012,February,8,Tonnes,NR,Deshi,885,905,900,Rs/Quintal
Mathura,Uttar Pradesh,Bajra(Pearl Millet),2012,February,30,Tonnes,NR,Hybrid,880,945,910,Rs/Quintal
Pichhour,Madhya Pradesh,Barley (Jau),2012,February,5,Tonnes,NR,Other,800,880,850,Rs/Quintal
Kishan Renwal(Sambhar),Rajasthan,Barley (Jau),2012,February,0.4,Tonnes,NR,Other,970,970,970,Rs/Quintal
Madanganj Kishanganj,Rajasthan,Barley (Jau),2012,February,4.1,Tonnes,NR,Other,1000,1070,1035,Rs/Quintal
Nawalgarh,Rajasthan,Barley (Jau),2012,February,NR,Tonnes,NR,Other,920,940,930,Rs/Quintal
Rajasamand,Rajasthan,Barley (Jau),2012,February,NR,Tonnes,NR,Other,1075,1100,1085,Rs/Quintal
Sriganganagar,Rajasthan,Barley (Jau),2012,February,5,Tonnes,NR,Other,916,916,916,Rs/Quintal
Tonk,Rajasthan,Barley (Jau),2012,February,47,Tonnes,NR,Deshi,1000,1050,1031,Rs/Quintal
Agra,Uttar Pradesh,Barley (Jau),2012,February,32,Tonnes,NR,Dara,NR,NR,1155,Rs/Quintal
Azamgarh,Uttar Pradesh,Barley (Jau),2012,February,0.8,Tonnes,NR,Other,1155,1175,1165,Rs/Quintal
Fatehpur,Uttar Pradesh,Barley (Jau),2012,February,0.5,Tonnes,NR,Dara,NR,NR,1270,Rs/Quintal
Gorakhpur,Uttar Pradesh,Barley (Jau),2012,February,4.5,Tonnes,NR,Dara,1165,1240,1210,Rs/Quintal
Mahoba,Uttar Pradesh,Barley (Jau),2012,February,5,Tonnes,NR,Other,1117,1127,1120,Rs/Quintal
Mainpuri,Uttar Pradesh,Barley (Jau),2012,February,1,Tonnes,NR,Dara,1090,1105,1100,Rs/Quintal
Mathura,Uttar Pradesh,Barley (Jau),2012,February,16.5,Tonnes,NR,Dara,1130,1180,1160,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Barley (Jau),2012,February,3,Tonnes,NR,Dara,1150,1275,1250,Rs/Quintal
Tamkuhi Road,Uttar Pradesh,Barley (Jau),2012,February,0.3,Tonnes,NR,Other,1180,1210,1200,Rs/Quintal
Jorhat,Assam,Beaten Rice,2012,February,5.5,Tonnes,NR,Other,1550,1800,1600,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Beaten Rice,2012,February,16.5,Tonnes,NR,Other,1650,2150,1950,Rs/Quintal
Gadhwah,Jharkhand,Beaten Rice,2012,February,NR,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Aruppukottai,Tamil Nadu,Hybrid Cumbu,2012,February,NR,Tonnes,NR,Other,1100,1140,1120,Rs/Quintal
Alur,Andhra Pradesh,Jowar(Sorgham),2012,February,0.1,Tonnes,NR,Jowar ( White),840,1156,889,Rs/Quintal
Atmakur,Andhra Pradesh,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Jowar ( White),980,1000,980,Rs/Quintal
Banaganapalli,Andhra Pradesh,Jowar(Sorgham),2012,February,122.7,Tonnes,NR,Jowar ( White),1150,1350,1250,Rs/Quintal
Koilkunta,Andhra Pradesh,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Jowar ( White),1100,1200,1150,Rs/Quintal
Markapur,Andhra Pradesh,Jowar(Sorgham),2012,February,0.1,Tonnes,NR,Jowar ( White),980,1000,990,Rs/Quintal
Nandyal,Andhra Pradesh,Jowar(Sorgham),2012,February,0.1,Tonnes,NR,Jowar Hybrid,1700,1900,1800,Rs/Quintal
Narasaraopet,Andhra Pradesh,Jowar(Sorgham),2012,February,0.1,Tonnes,NR,Jowar ( White),1600,1800,1700,Rs/Quintal
Narasaraopet,Andhra Pradesh,Jowar(Sorgham),2012,February,,,NR,Jowar (Yellow),1900,2100,2000,Rs/Quintal
Tadipatri,Andhra Pradesh,Jowar(Sorgham),2012,February,NR,Tonnes,NR,White,1800,1900,1850,Rs/Quintal
Tadipatri,Andhra Pradesh,Jowar(Sorgham),2012,February,,,NR,Yellow,1700,1800,1750,Rs/Quintal
Palitana,Gujarat,Jowar(Sorgham),2012,February,5,Tonnes,NR,Other,1375,2000,1687,Rs/Quintal
Vadodara,Gujarat,Jowar(Sorgham),2012,February,17,Tonnes,NR,Hybrid,1300,1400,1400,Rs/Quintal
Vadodara,Gujarat,Jowar(Sorgham),2012,February,,,NR,Local,1650,1800,1800,Rs/Quintal
Vadodara,Gujarat,Jowar(Sorgham),2012,February,,,NR,Other,1750,1800,1800,Rs/Quintal
Vadodara,Gujarat,Jowar(Sorgham),2012,February,,,NR,Yellow,1700,1800,1800,Rs/Quintal
Vagodiya,Gujarat,Jowar(Sorgham),2012,February,0.6,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Sehore,Madhya Pradesh,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Other,1103,1330,1266,Rs/Quintal
Achalpur,Maharashtra,Jowar(Sorgham),2012,February,18.5,Tonnes,NR,Other,1000,1070,1035,Rs/Quintal
Kurdwadi,Maharashtra,Jowar(Sorgham),2012,February,0.7,Tonnes,NR,Other,2251,2800,2700,Rs/Quintal
Nagpur,Maharashtra,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Other,1300,1425,1362,Rs/Quintal
Pune,Maharashtra,Jowar(Sorgham),2012,February,102.9,Tonnes,NR,Other,1650,3950,2800,Rs/Quintal
Savner,Maharashtra,Jowar(Sorgham),2012,February,0.2,Tonnes,NR,Other,1050,1050,1050,Rs/Quintal
Parlakhemundi,Orissa,Jowar(Sorgham),2012,February,10,Tonnes,NR,Local,1400,1600,1600,Rs/Quintal
Bandikui,Rajasthan,Jowar(Sorgham),2012,February,0.1,Tonnes,NR,Other,1210,1210,NR,Rs/Quintal
Bijay Nagar,Rajasthan,Jowar(Sorgham),2012,February,0.6,Tonnes,NR,Other,971,1171,1050,Rs/Quintal
Degana,Rajasthan,Jowar(Sorgham),2012,February,5,Tonnes,NR,Other,1400,1521,1500,Rs/Quintal
Jodhpur(Grain)(Bhagat Ki Kothi),Rajasthan,Jowar(Sorgham),2012,February,0.4,Tonnes,NR,Other,1200,1500,1350,Rs/Quintal
Kishan Renwal(Sambhar),Rajasthan,Jowar(Sorgham),2012,February,1.3,Tonnes,NR,Other,1450,1450,1450,Rs/Quintal
Madanganj Kishanganj,Rajasthan,Jowar(Sorgham),2012,February,36.2,Tonnes,NR,Other,1200,1600,1400,Rs/Quintal
Rajasamand,Rajasthan,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Tonk,Rajasthan,Jowar(Sorgham),2012,February,10,Tonnes,NR,Jowar ( White),1385,1460,1450,Rs/Quintal
Vijay Nagar(Gulabpura),Rajasthan,Jowar(Sorgham),2012,February,1,Tonnes,NR,Other,1250,1250,1250,Rs/Quintal
Aruppukottai,Tamil Nadu,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Hybrid,1400,1450,1425,Rs/Quintal
Aruppukottai,Tamil Nadu,Jowar(Sorgham),2012,February,,,NR,Other,1080,1100,1090,Rs/Quintal
Karamadai,Tamil Nadu,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Other,1100,1250,1175,Rs/Quintal
Manapparai,Tamil Nadu,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Jowar (Yellow),1300,1400,1350,Rs/Quintal
Rasipuram,Tamil Nadu,Jowar(Sorgham),2012,February,NR,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Narayanpet,Telangana,Jowar(Sorgham),2012,February,NR,Tonnes,NR,White,1611,2626,2118,Rs/Quintal
Ajuha,Uttar Pradesh,Jowar(Sorgham),2012,February,4,Tonnes,NR,White,NR,NR,990,Rs/Quintal
Mahoba,Uttar Pradesh,Jowar(Sorgham),2012,February,10,Tonnes,NR,Other,1775,1784,1780,Rs/Quintal
Alur,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Local,840,1000,900,Rs/Quintal
Atmakur,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Hybrid/Local,1200,1200,1200,Rs/Quintal
Bhimadole,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Local,1080,1100,1090,Rs/Quintal
Chintalapudi,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Hybrid/Local,940,1000,980,Rs/Quintal
Gopalavaram,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Local,840,980,880,Rs/Quintal
Mangalagiri,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Local,1000,1060,1030,Rs/Quintal
Nandikotkur,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Hybrid,1020,1120,1080,Rs/Quintal
Parchur,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Local,1100,1200,1150,Rs/Quintal
Pusapatirega,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Local,900,950,900,Rs/Quintal
Saluru,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Hybrid,860,900,880,Rs/Quintal
Tadipatri,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Local,1000,1100,1050,Rs/Quintal
Tenali,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Tiruvuru,Andhra Pradesh,Maize,2012,February,NR,Tonnes,NR,Hybrid,930,960,940,Rs/Quintal
Vijayanagaram,Andhra Pradesh,Maize,2012,February,0.1,Tonnes,NR,Local,1100,1200,1150,Rs/Quintal
Jagdalpur,Chattisgarh,Maize,2012,February,1.5,Tonnes,NR,Local,982,985,984,Rs/Quintal
Keshkal,Chattisgarh,Maize,2012,February,110.1,Tonnes,NR,Local,900,1000,985,Rs/Quintal
Kondagoan,Chattisgarh,Maize,2012,February,74.8,Tonnes,NR,Local,1110,1110,1110,Rs/Quintal
Narayanpur,Chattisgarh,Maize,2012,February,17.5,Tonnes,NR,Other,800,900,850,Rs/Quintal
Sambalpur,Chattisgarh,Maize,2012,February,1,Tonnes,NR,Other,900,900,900,Rs/Quintal
Ahmedabad,Gujarat,Maize,2012,February,13.8,Tonnes,NR,Other,700,1100,900,Rs/Quintal
Gogamba,Gujarat,Maize,2012,February,12,Tonnes,NR,Deshi White,1275,1350,1300,Rs/Quintal
Vadodara,Gujarat,Maize,2012,February,12,Tonnes,NR,Deshi Red,1325,1350,1350,Rs/Quintal
Vadodara,Gujarat,Maize,2012,February,,,NR,Deshi White,1400,1425,1425,Rs/Quintal
Vadodara,Gujarat,Maize,2012,February,,,NR,Gajjar,1300,1300,1300,Rs/Quintal
Godda,Jharkhand,Maize,2012,February,NR,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Latehar,Jharkhand,Maize,2012,February,NR,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Sahebganj,Jharkhand,Maize,2012,February,NR,Tonnes,NR,Yellow,900,950,900,Rs/Quintal
Channarayapatna,Karnataka,Maize,2012,February,18,Tonnes,NR,Hybrid/Local,1190,1190,1190,Rs/Quintal
Gubbi,Karnataka,Maize,2012,February,NR,Tonnes,NR,Yellow,900,900,900,Rs/Quintal
Hunsur,Karnataka,Maize,2012,February,60,Tonnes,NR,Hybrid/Local,1350,1350,1350,Rs/Quintal
Kumbhraj,Madhya Pradesh,Maize,2012,February,0.05,Tonnes,NR,Other,1118,1135,1126,Rs/Quintal
Sidhi,Madhya Pradesh,Maize,2012,February,1,Tonnes,NR,Other,920,922,920,Rs/Quintal
Achalpur,Maharashtra,Maize,2012,February,2,Tonnes,NR,Other,1070,1400,1275,Rs/Quintal
Kurdwadi,Maharashtra,Maize,2012,February,6.6,Tonnes,NR,Other,950,1185,1150,Rs/Quintal
Nagpur,Maharashtra,Maize,2012,February,NR,Tonnes,NR,Other,1050,1150,1100,Rs/Quintal
Sangli(Miraj),Maharashtra,Maize,2012,February,932.6,Tonnes,NR,Other,1220,1230,1225,Rs/Quintal
Nawarangpur,Orissa,Maize,2012,February,50.5,Tonnes,"Orissa,Nowarangpur",Hybrid/Local,980,1225,980,Rs/Quintal
Parlakhemundi,Orissa,Maize,2012,February,10,Tonnes,"Orissa,Gajapati",Local,900,1000,1000,Rs/Quintal
Ajmer (Grain),Rajasthan,Maize,2012,February,5,Tonnes,NR,Other,1261,1360,1305,Rs/Quintal
Alwar,Rajasthan,Maize,2012,February,10.2,Tonnes,NR,Other,1000,1200,1120,Rs/Quintal
Begu,Rajasthan,Maize,2012,February,51.1,Tonnes,NR,Other,1250,1300,1275,Rs/Quintal
Bijay Nagar,Rajasthan,Maize,2012,February,2.4,Tonnes,NR,Other,1211,1291,1250,Rs/Quintal
Kapasan,Rajasthan,Maize,2012,February,NR,Tonnes,NR,Other,1100,1200,1190,Rs/Quintal
Madanganj Kishanganj,Rajasthan,Maize,2012,February,3.6,Tonnes,NR,Other,1100,1250,1175,Rs/Quintal
Rajasamand,Rajasthan,Maize,2012,February,NR,Tonnes,NR,Deshi White,1200,1250,1225,Rs/Quintal
Rajasamand,Rajasthan,Maize,2012,February,,,NR,Yellow,1200,1250,1225,Rs/Quintal
Tonk,Rajasthan,Maize,2012,February,3,Tonnes,NR,Hybrid Yellow (Cattle Feed),1220,1221,1221,Rs/Quintal
Annur,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Anthiyur,Tamil Nadu,Maize,2012,February,30,Tonnes,NR,Hybrid/Local,1079,1124,1109,Rs/Quintal
Aruppukottai,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1140,1160,1150,Rs/Quintal
Kallakurichi,Tamil Nadu,Maize,2012,February,1000,Tonnes,NR,Other,1121,1147,NR,Rs/Quintal
Karamadai,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1150,1200,1175,Rs/Quintal
Madathukulam,Tamil Nadu,Maize,2012,February,39.3,Tonnes,NR,Other,1140,1160,1150,Rs/Quintal
Palladam,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Pongalur,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Local,1100,1200,1150,Rs/Quintal
Rasipuram,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Salem,Tamil Nadu,Maize,2012,February,0.1,Tonnes,NR,Other,1000,1150,1075,Rs/Quintal
Sangarapuram,Tamil Nadu,Maize,2012,February,200,Tonnes,NR,Other,1108,1138,1130,Rs/Quintal
Sulur,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Thammampati,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Other,1100,1180,1140,Rs/Quintal
Thirukovilur,Tamil Nadu,Maize,2012,February,250,Tonnes,NR,Other,967,1147,1138,Rs/Quintal
Thirumangalam,Tamil Nadu,Maize,2012,February,NR,Tonnes,NR,Red,1200,1300,1250,Rs/Quintal
Udumalpet,Tamil Nadu,Maize,2012,February,106,Tonnes,NR,Other,1150,1170,1160,Rs/Quintal
Ulundurpettai,Tamil Nadu,Maize,2012,February,6,Tonnes,NR,Other,1049,1135,1092,Rs/Quintal
Alampur,Telangana,Maize,2012,February,NR,Tonnes,NR,Local,880,900,890,Rs/Quintal
Banswada,Telangana,Maize,2012,February,NR,Tonnes,NR,Deshi Red,1175,1225,1200,Rs/Quintal
Banswada,Telangana,Maize,2012,February,,,NR,Deshi White,1180,1250,1225,Rs/Quintal
Huzzurabad,Telangana,Maize,2012,February,NR,Tonnes,NR,Fine,980,980,980,Rs/Quintal
Jagtial,Telangana,Maize,2012,February,0.1,Tonnes,NR,Hybrid,1100,1100,1100,Rs/Quintal
Kamareddy,Telangana,Maize,2012,February,15,Tonnes,NR,Hybrid,980,980,980,Rs/Quintal
Kamareddy(Bicknoor),Telangana,Maize,2012,February,6,Tonnes,NR,Hybrid,980,980,980,Rs/Quintal
Medchal,Telangana,Maize,2012,February,20,Tonnes,NR,Hybrid,980,980,980,Rs/Quintal
Shadnagar,Telangana,Maize,2012,February,0.1,Tonnes,NR,Local,1150,1162,1156,Rs/Quintal
Vikarabad,Telangana,Maize,2012,February,NR,Tonnes,NR,Local,1160,1190,1175,Rs/Quintal
Balrampur,Uttar Pradesh,Maize,2012,February,2.8,Tonnes,NR,Other,1140,1160,1150,Rs/Quintal
Divai,Uttar Pradesh,Maize,2012,February,8,Tonnes,NR,Hybrid,1200,1250,1225,Rs/Quintal
Gonda,Uttar Pradesh,Maize,2012,February,13.5,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Jaunpur,Uttar Pradesh,Maize,2012,February,1,Tonnes,NR,Other,NR,NR,990,Rs/Quintal
Mainpuri,Uttar Pradesh,Maize,2012,February,4,Tonnes,NR,Yellow,1180,1205,1200,Rs/Quintal
Achanta,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Other,1080,1100,1090,Rs/Quintal
Addanki,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,B P T,1350,1400,1380,Rs/Quintal
Akiveedu,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Paddy,1110,1130,1120,Rs/Quintal
Alamuru,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Paddy,1080,1100,1080,Rs/Quintal
Allagadda,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Sona,1000,1200,1100,Rs/Quintal
Amadalavalasa,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Paddy,1080,1110,1100,Rs/Quintal
Ambajipeta,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,MTU-1010,1110,1110,1110,Rs/Quintal
Ambajipeta,Andhra Pradesh,Paddy(Dhan),2012,February,,,NR,Swarna Masuri (New),1080,1080,1080,Rs/Quintal
Anaparthy,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,MTU-1010,1080,1110,1080,Rs/Quintal
Atmakur,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,B P T,1083,1200,1118,Rs/Quintal
Atmakur(SPS),Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,MTU-1010,1000,1030,1030,Rs/Quintal
Attili,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Other,1080,1100,1090,Rs/Quintal
Badvel,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Masuri,1200,1250,1230,Rs/Quintal
Badvel,Andhra Pradesh,Paddy(Dhan),2012,February,,,NR,Molagolukulu (New),1100,1150,1130,Rs/Quintal
Banaganapalli,Andhra Pradesh,Paddy(Dhan),2012,February,17,Tonnes,NR,Sona Mahsuri,1050,1150,1100,Rs/Quintal
Bapatla,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,950,1050,1000,Rs/Quintal
Bhimadole,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,MTU-1010,1100,1130,1120,Rs/Quintal
Bhimavaram,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Swarna Masuri (New),1050,1100,1080,Rs/Quintal
Bhimunipatnam,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Paddy,1000,1080,1050,Rs/Quintal
Bobbili,Andhra Pradesh,Paddy(Dhan),2012,February,25.8,Tonnes,NR,1001,1080,1080,1080,Rs/Quintal
Chilakaluripet,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1100,1200,1150,Rs/Quintal
Chintalapudi,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,MTU-1001,1050,1110,1080,Rs/Quintal
Chintalapudi,Andhra Pradesh,Paddy(Dhan),2012,February,,,NR,MTU-1010,1030,1050,1040,Rs/Quintal
Chirala,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1350,1400,1375,Rs/Quintal
Chodavaram,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Samba Masuri,1150,1350,1250,Rs/Quintal
Darsi,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1030,1100,1050,Rs/Quintal
Denduluru,Andhra Pradesh,Paddy(Dhan),2012,February,NR,Tonnes,NR,Paddy,1080,1100,1090,Rs/Quintal
Dharmavaram,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1050,1110,1080,Rs/Quintal
Divi,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1100,1200,1100,Rs/Quintal
Gajapathinagaram,Andhra Pradesh,Paddy(Dhan),2012,February,38.8,Tonnes,NR,Sona Mahsuri,1080,1090,1080,Rs/Quintal
Gannavaram,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,B P T,1150,1200,1175,Rs/Quintal
Gooti,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Other,1100,1200,1150,Rs/Quintal
Gopalavaram,Andhra Pradesh,Paddy(Dhan),2012,February,0.1,Tonnes,NR,Sona Mahsuri,1000,1110,1080,Rs/Quintal
